Date,Product,Category,Quantity,Price,Region
2024-01-15,Laptop,Electronics,5,999.99,North
2024-01-16,Mouse,Electronics,20,29.99,South
2024-01-17,Desk,Furniture,3,299.99,East
2024-01-18,Chair,Furniture,8,149.99,West
2024-01-19,Monitor,Electronics,4,399.99,North
2024-01-20,Keyboard,Electronics,15,79.99,South
2024-01-21,Bookshelf,Furniture,2,199.99,East
2024-01-22,Table,Furniture,6,249.99,West
2024-01-23,Phone,Electronics,12,699.99,North
2024-01-24,Headphones,Electronics,25,199.99,South
2024-01-25,Printer,Electronics,3,299.99,East
2024-01-26,Lamp,Furniture,10,89.99,West
2024-01-27,Tablet,Electronics,7,499.99,North
2024-01-28,Speakers,Electronics,18,149.99,South
2024-01-29,Sofa,Furniture,1,799.99,East
2024-01-30,TV,Electronics,2,1299.99,West
2024-01-31,Webcam,Electronics,30,99.99,North
2024-02-01,Desk Chair,Furniture,4,199.99,South
2024-02-02,Smartphone,Electronics,15,899.99,East
2024-02-03,Office Chair,Furniture,6,249.99,West
2024-02-04,Router,Electronics,8,79.99,North
2024-02-05,Standing Desk,Furniture,2,599.99,South
2024-02-06,Smart Watch,Electronics,22,299.99,East
2024-02-07,Bookshelf,Furniture,3,179.99,West
2024-02-08,Laptop Stand,Electronics,12,49.99,North
2024-02-09,Dining Table,Furniture,1,899.99,South
2024-02-10,Bluetooth Speaker,Electronics,20,129.99,East
2024-02-11,File Cabinet,Furniture,5,199.99,West
2024-02-12,External Drive,Electronics,25,89.99,North
2024-02-13,Recliner,Furniture,1,599.99,South
2024-02-14,Wireless Charger,Electronics,35,39.99,East
2024-02-15,Storage Box,Furniture,8,29.99,West
2024-02-16,Gaming Console,Electronics,4,499.99,North
2024-02-17,Bookshelf,Furniture,2,159.99,South
2024-02-18,USB Hub,Electronics,40,19.99,East
2024-02-19,Office Desk,Furniture,3,399.99,West
2024-02-20,Power Bank,Electronics,28,59.99,North
2024-02-21,Bar Stool,Furniture,6,79.99,South
2024-02-22,HDMI Cable,Electronics,50,9.99,East
2024-02-23,Storage Cabinet,Furniture,4,299.99,West
2024-02-24,Wireless Mouse,Electronics,45,24.99,North
2024-02-25,End Table,Furniture,7,99.99,South
2024-02-26,Bluetooth Headphones,Electronics,32,179.99,East
2024-02-27,Desk Organizer,Furniture,15,19.99,West
2024-02-28,Tablet Stand,Electronics,18,34.99,North
2024-02-29,Floor Lamp,Furniture,5,129.99,South
2024-03-01,Smart Home Hub,Electronics,6,199.99,East
2024-03-02,Storage Bench,Furniture,2,249.99,West
2024-03-03,Wireless Earbuds,Electronics,38,89.99,North
2024-03-04,Accent Chair,Furniture,3,349.99,South
2024-03-05,Network Switch,Electronics,12,149.99,East
2024-03-06,Bookshelf,Furniture,4,189.99,West
2024-03-07,USB-C Cable,Electronics,60,12.99,North
2024-03-08,Storage Ottoman,Furniture,1,199.99,South
2024-03-09,Bluetooth Adapter,Electronics,25,29.99,East
2024-03-10,Desk Lamp,Furniture,12,49.99,West
